floor	controlmode	13:56:12	2021-04-26
floor	controlmode	13:56:24	2021-04-26
floor	controlmode	13:56:35	2021-04-26
floor	controlmode	13:56:46	2021-04-26
floor	controlmode	13:56:58	2021-04-26
floor	controlmode	13:57:09	2021-04-26
floor	controlmode	13:57:21	2021-04-26
floor	controlmode	13:57:32	2021-04-26
floor	controlmode	13:57:44	2021-04-26
floor	controlmode	13:57:55	2021-04-26
floor	controlmode	13:58:07	2021-04-26
floor	controlmode	13:58:19	2021-04-26
floor	controlmode	13:58:31	2021-04-26
floor	controlmode	13:58:43	2021-04-26
floor	controlmode	13:58:54	2021-04-26
floor	controlmode	13:59:06	2021-04-26
floor	controlmode	13:59:17	2021-04-26
